词条,词频
一等奖,160
申请,977
三项,42
溶解,21
两个,189
高纯,65
合金,211
稀土,94
酸盐,1
粉末,51
氯化,47
碳化,20
氧化钇,1
氧化锆,27
行业标准,199
制定,322
广东省科技厅,6
顺利,496
十五项,1
技术改造,195
还原炉,6
升华,7
洗液,2
重复使用,1
直段,1
石灰,2
液碱,2
另有,80
热处理,54
水解,33
粉体,28
强化,301
转型,436
同比,609
大幅,323
模式,449
独立,69
委托,55
70g,3
m2,9
纸浆,6
75g,2
白色,21
伸性,3
石灰窑,2
燃烧器,43
造纸,32
污水,81
絮凝剂,7
延长,53
500tds,1
碱炉,1
运行,441
周期,93
木材,4
剩余物,2
控制,746
透气,7
纸袋,2
纸抄造,1
湿部,1
化学,132
及木,1
竹浆,4
原纸,30
控股,233
子公司,1049
深圳市,88
宝通,7
光电子,15
40G,10
AOC,5
16G,7
收发,22
6G,3
10G,9
电口,6
SEP,3
25G,6
漳州,4
水仙,1
药业,121
金利,1
药方,1
原材料,118
麝香草,1
下一代,60
户型,2
大库,1
服务平台,214
担负起,1
前沿技术,96
攻坚,5
使命,13
圆方,1
围绕,859
赋能,8
整装,9
以大,9
精细化,53
运营,449
推出,485
包含,125
BIM,67
会员,18
下单,5
调度,96
拆单,3
上线,167
虚拟,42
机器,45
AI,7
辅助设计,2
工作量,14
抽屉,2
喷胶,3
贴标机,1
基准,5
拉槽机,1
钻孔机,1
效率,815
致力于,310
订单,119
受理,321
定义,22
一级,40
类型,143
全自动,134
无人,48
值守,12
衣柜,3
60%,17
单率,2
30%,42
人均,6
35%,10
概述,14
五个,45
LED,471
多颗,1
高性能,382
特色,118
智能家居,60
模拟,102
脉冲,25
宽度,6
调制,6
调光,18
高效率,68
功率,225
隔离,69
功率因数,10
量产,330
大功率,183
频闪,1
送样,19
阶段,1084
贴近,46
客户,1800
独有,18
谐波,12
失真,3
电磁干扰,4
器件,174
优于,19
竞争对手,24
全系列,41
打下基础,41
市场份额,87
电能,47
计量,118
显示,249
多款,119
国网,35
单相,23
升级版,11
插座,10
液晶,17
4COM,1
8COM,1
市场推广,73
两年,27
MCU,23
ADC,8
马达,16
电源,251
小家电,20
轻型,35
电动车,17
MOS,2
完整,108
销售,512
超过,101
600,28
还会,4
增长,1427
通道,32
高精度,173
无线通信,31
医疗,285
仪器仪表,20
第二季度,9
第一次,10
流片,4
样片,4
推向市场,86
类产品,130
毛利率,34
较长,15
处于,583
营收,11
贡献,70
家电,44
网通,4
机顶盒,41
DC,35
7V,1
1.5,44
16V,1
2A,2
同步,168
降压,14
30V,1
升压,9
光驱,1
上市,263
压大,1
电流,59
面市,9
产品线,350
50.7%,2
48.9%,2
1.8%,2
构架,15
19.77%,1
变动,111
各项,400
10.20%,2
士兰微,1
同行业,107
相比,110
相近,4
本期,589
上年,1105
同期相比,43
下降,363
3.15,3
百分点,133
原因,466
原子,14
阿法迪,1
纳入,86
175,7
办公用品,2
办公设备,2
齐心,2
电商,85
体验,208
SaaS,15
杭州,28
麦苗,6
数据服务,8
深圳,73
银澎云,2
硬件,175
互动,98
录播,14
Windows,7
IOS,4
Android,19
BOSS,18
跨平台,9
版本,111
迭代,67
中小型,12
会议室,7
Meetingbox,2
远程,180
课堂,18
远程教室,2
实时,149
录制,5
展现,14
教学,38
优质,135
教育资源,6
共享,98
本部,33
183.16,1
燃料,70
分析仪器,17
X射线,9
荧光,31
光谱仪,17
煤质,16
在线,250
元素,56
分析,691
开发阶段,337
完毕,32
试用,99
前述,12
领先地位,408
恒企,1
教育,118
941.86,1
十个,4
服务,1423
财经,4
培训,128
自考,2
IT,84
赛道,2
为恒企,2
蓝鲸,2
BI,6
CPA,1
会计师,6
课程,9
建立,682
强大,93
内容,363
技术壁垒,26
学生,22
学习效果,1
变化,277
占用率,5
公司业绩,59
驱动力,30
英才,8
379.51,1
七个,10
积分,7
图书,25
营销,122
问答,4
题库,2
中大云校,1
评估,154
辅助,130
资料,91
学员,5
创造,191
更好,211
中大,4
黏着,1
带来,221
便利性,6
交互式,2
受益,3
漆包线,42
设有,35
锂电池,96
福建,26
创鑫,3
研发部,35
电解液,29
添加剂,57
电池,591
多样化,75
费用,2345
所致,418
自有,102
软件产品,153
更新,146
资本化,1264
2655.23,1
去年同期,200
6.02%,3
加码,1
草原,36
生态,365
修复,262
科研,638
实践,90
261.16,1
万平方公里,1
荒漠化,3
土地,22
年来,2
专注,116
防治,60
近些年,4
退化,8
区域,142
示范,577
技术规范,35
国家标准,149
牧场,13
北方,17
草原区,1
露天煤矿,2
排土场,3
植被,9
恢复,34
荒废,2
技术规程,7
暗管,1
排盐,1
二色,2
补血,2
人工,105
繁育,30
内蒙古,19
地方,80
节水型,2
林地,1
绿地,6
规程,10
城市绿地,1
鸟类,1
栖息地,1
北京市,72
参与,316
节水,53
阴山,5
南北部,5
综合治理,37
技术开发,623
集成,454
体系,881
18000,1
塔拉,1
万亩,7
巴彦淖尔,1
包头市,1
呼和浩特市,3
乌兰察布,2
三化,4
草地,10
耕地,7
城镇,21
周边,7
废弃,16
矿区,30
复垦,3
摸底,3
以此,26
依托,269
针对性,96
数据库,110
提出,142
节约型,6
畜牧,8
产业,770
导航,71
锡林郭勒草原,1
草场,2
建植,2
初见成效,8
多功能,123
基地,203
有序,121
科尔沁沙地,2
林草,1
牧业,5
攻关,293
大规模,109
飞播,1
牧民,3
牧草,6
扎鲁特旗,1
人民政府,3
签订,80
协议,85
构建,250
干旱,7
半干旱,4
乡土,21
植物,175
典型,52
分散,39
链条,27
种业,17
建成,123
地区,89
种质,21
资源库,18
总库,2
九个,5
分库,2
原生植物,1
种类,50
2300,4
收集,74
1700,2
余种,15
160,16
转化,535
种植,69
草坪,4
中草药,5
之中,16
种子,24
打硬仗,1
坚城,1
时代,48
牵引,44
战略,936
草业,2
整理,63
水土,1
草畜,2
新生,6
专家,218
政府,166
决策依据,7
现实,44
一张,4
检索,24
查询,45
判读,1
锁定,10
经纬度,1
任意,14
一点,8
即可,28
分布,59
及草,1
作业,131
遥感,13
监测,333
手段,109
图像,66
数据挖掘,35
做出,60
前瞻性,173
判断,22
矿山,78
科学依据,7
将来,31
农牧民,1
科研院所,111
实用,52
帮手,1
区隔,1
草好,1
平衡,41
关系,85
畜种,1
养殖,119
收储,1
进口,100
牧区,3
指导,101
积极参与,48
科研课题,36
课题,532
草甸,1
河套,1
平原,1
盐碱地,24
京津冀,3
风沙源,1
沙化,3
荒漠区,2
地点,6
涵盖,101
大部分,76
凸显,8
实力,514
推动,612
努力,188
创新型,110
研究成果,84
转化成,12
生产力,55
科研成果,84
快速,486
动力,464
储能,116
锂离子,92
三种,19
代表性,12
方型,3
铝壳,3
圆柱,11
18650,5
21700,2
软包,7
叠片,11
供货,93
系统集成,97
构型,6
模组,121
电气设计,3
防护,82
BMS,13
CAE,13
仿真,96
推行,25
可靠性,225
液冷,4
长寿命,19
高可靠性,88
电容器,68
长期存在,2
关键性,28
共性,86
技术难题,66
温度,87
优异,77
打破,69
国外,211
垄断,54
填补,138
国内,1233
空白,143
知识产权,848
ZL201210591422.1,1
密封件,10
荣获,209
ZL201210591404.3,2
科学技术,256
经济效益,315
亚硫酰氯,2
极低,3
自放电,3
小批量,131
试产,47
转入,58
有利于,356
原电池,3
世界,130
统筹安排,2
原则,239
轻重缓急,2
募集,100
资金,437
到位,22
时间,163
投资,240
自筹资金,3
先行,13
首次,91
公开,43
发行股票,18
深交所,3
创业板,9
见本节,5
状况,38
达成,65
地位,316
规模,225
战略意义,15
力争,44
特定,47
另一类,8
此类,25
维护,188
长期,249
定制,180
形式,65
反刍,6
TMR,3
反刍动物,5
生理,8
保证,504
生长,102
营养,145
均衡,22
饲料,166
全程,19
精确化,2
定量化,2
均衡化,1
中精,1
粗分,1
定量,33
低等,15
开创,10
颗粒饲料,2
形新,1
羊羊,1
得益,1
一颗,3
繁殖,5
母猪,8
围产期,2
综合症,6
采食,8
便秘,2
产程,1
泌乳,1
无乳,1
断奶,13
体重,3
缓解,32
应激,7
健康,460
肠道,20
乳质,1
重等,1
伴侣,4
月子餐,1
动物,89
基本规律,1
物质,53
排泄,1
规律,23
发酵,132
减排,144
生物酶,6
筛选,80
组合,133
重金属,79
排泄物,1
恶臭,5
出高,7
消化率,7
低污染,8
成都市,13
顶尖,9
武侯,1
诸葛,1
精英,12
饲料原料,5
因子,16
浓度,46
可消化,1
益生菌,9
有机酸,5
幼龄,1
腹泻,13
肉鸡,10
中大猪,1
粮食局,2
研究院,309
发酵饲料,2
开发利用,23
粮油,3
学会,36
低蛋白,5
日粮,6
是从,3
必需,6
氨基酸,26
需要量,1
粮净能,1
写作,3
机制,165
蛋白饲料,1
紧张,7
胴体,3
品质,214
增进,4
猪粪,1
排放量,21
中国农业大学,15
代表,56
调控,34
神农,1
中华,12
农业,119
科技奖,15
优秀,182
引导,76
猪饲料,2
环境友好,30
中间件,31
细分,86
应用服务器,4
TongWeb,5
消息中间件,3
TongLINK,3
一系列,243
夯实,66
稳定性,241
更强,13
拳头产品,15
交易,117
TongEASY,1
发布,204
最新,109
名字,1
集中管理,12
部署,91
适应能力,10
计算环境,7
新一代,303
交易系统,25
负载,35
TongLB,3
满足用户,20
整体,530
高效性,7
可扩展性,4
TongDXP,2
交换,40
易用性,9
流程,253
监控,402
对账,6
级联,4
服务器,101
静态,12
统计,64
层级,7
地域,13
部门,182
数据交换,22
安全可靠,28
TongETL,1
传输,126
加密,44
触发器,1
双向,51
空间,182
数据类型,1
CDC,1
开发工具,4
界面,47
互联网安全,5
危害,12
日益严重,3
钓鱼,2
仿冒,2
恶意,4
网址,5
恶意软件,1
安全事件,3
防火墙,10
入侵,10
杀毒软件,1
复杂多变,2
威胁,13
欺诈,2
贝叶斯,1
决策树,1
SVM,1
分类,51
黑白,4
名单,7
URL,1
上网,16
网络,427
手机,183
中毒,1
发现,39
漏洞,5
采取有效,1
措施,91
防范,22
中国电信,18
中国移动,21
联动,71
不良信息,1
传播,31
呈现出,4
信群发,1
语音,43
外呼,1
转移,64
趋势,119
骚扰电话,7
恶劣,12
电信,29
侵害,1
合法权益,2
信息安全,95
运营商,67
通讯,131
骚扰,5
引入,83
语义,7
取证,25
语料库,1
模型,137
训练,8
异常,14
呼叫,10
为护,1
监管,67
该系,1
健全,25
法律法规,8
起到,149
作用,473
专线,1
合规,2
北京邮电大学,1
攻击,4
预警,66
联网,341
风险,170
前沿,89
期望,11
可控,89
独特,50
有益,11
电子政务,14
TongA2D,1
账户,24
跨部门,7
新途径,9
专属,6
数字,194
2.0,43
内核,5
运维,123
门户,14
浙江,55
经济运行,13
无锡市,13
综合信息,10
形势,39
预测,42
深化,95
供给,30
改革,90
决策,80
江西省,15
宏观经济,9
石家庄市,12
侧大,1
数据分析,87
多媒体信息,12
系统升级,34
信息化,425
大型,282
企事业,14
多媒体,64
信息系统,132
单项,12
迈进,24
最初,7
视频会议,24
扩展,146
协作,45
内部,336
产业链,245
上下游,37
快速增长,31
视讯,19
不断进步,14
市场竞争,149
日趋激烈,12
占据,39
一席之地,8
厂商,51
力度,1223
引领者,11
亟需,9
交互,76
远程教育,5
方案设计,26
会议,70
V3.0,15
多项,572
数据共享,8
应急,101
指挥,60
指挥系统,44
涉及,218
业务流程,31
差异,27
之上,3
整合,274
个性化,111
进一步提高,242
附加值,223
各大,12
纷纷,5
激烈,60
最终,109
视频,291
贯彻落实,12
意见,43
征集,3
评审,191
公示,17
市级,90
名称,32
大大降低,27
压力,122
开放,45
大众,29
总体,105
安排,33
会通,2
V2.4,1
V2.0,21
大幅提高,42
安全性,125
满意度,35
可视化,62
展示,57
信息产业,16
越来越,71
延伸,157
组成部分,31
切入,18
数据业务,12
盈利,217
领先,766
海上,78
风力,59
发电机,59
极靴型,1
定子,23
铁芯,15
道工序,3
装配,119
机壳,14
减小,24
尺寸,140
长片间,1
压不紧,1
压装,5
小批,29
转子,55
落料,3
模将定,1
片中,1
外圆,2
扣片,3
记号,2
键槽,1
通风孔,2
成型,184
不齐,2
落料模,1
确保,328
精度,93
节省,46
紧凑,14
美观,25
适合,95
叶轮,7
最佳,35
冷却,51
转速,11
高等,36
两型,7
双拼,1
扇形,3
两付,1
模具,200
精度高,6
冲制,3
冲片,14
叠压,6
整齐,4
试制,361
单槽,2
冲四轴,1
机器人,355
搬运,30
四轴,7
操作,135
左右两个,1
四台,1
冲床,7
冲压,51
节约,131
轴孔,1
取料,1
抓取,8
摆放,1
位置,40
精准度,7
工人,18
抽板,1
冲键,1
模销,1
间隙,13
均匀,62
使用寿命,39
铸铝,4
卧式,25
压铸模,3
主流,69
分流,3
浇口,9
铸铝机,1
顶出,1
开模,2
废料,21
切断,5
分离,169
免除,1
额外,4
工序,80
旋转,61
喷涂,51
工位,28
工件,18
悬挂,12
相配合,1
原地,1
减轻,28
工装,66
安全系数,3
库存,26
座椅,22
记忆,9
产品设计,154
性能指标,60
领先水平,258
主机厂,41
中级轿车,1
不到,2
数十万,1
再创,3
佳绩,2
电子产品,64
开辟,15
新款,18
调角,7
老款,2
体积,26
重量,28
产品成本,53
很大,45
某一,1
意向性,2
样件,15
实验报告,2
产品销售,58
遥控,9
钥匙,9
车窗,5
防夹,3
纹波,3
计数,8
更高,44
可靠,144
升降,10
无线,201
调节,78
夹手,1
样品,137
介绍,12
兴趣,2
展开,217
第二代,59
中置,3
HDM,1
国际,862
客户端,70
年产值,2
推向,9
汽车座椅,18
疗效,44
一致性,114
评价,292
多家,76
药品,291
药学,43
等效,27
性经,2
自制,24
原研药,7
心血管,19
类药物,22
搭建,126
药物,262
对外,88
联合开发,36
收率,56
混凝土,132
建筑,264
废弃物,47
绿色,391
资源化,93
海南省,9
第一条,7
再生,124
这一,30
迈出,10
一步,108
整套,14
投产,109
抓住,28
海绵,44
城市,389
契机,24
彩色,76
透水,12
地面,65
促渗,1
三亚,14
双修,5
双城,2
处理厂,19
尾渣,2
绿化,42
95%,10
人造,21
无机,26
装饰,119
板材,47
石材,8
密实,2
高强,67
无色差,1
无辐射,3
硬度,19
大理石,2
环境保护,61
发展趋势,203
广阔,90
市场前景,84
武汉理工大学,3
海南,32
海洋,78
地理,5
热带,6
海工,18
耐腐蚀,21
服役,4
寿命,64
组分,42
园林绿化,9
银杏,8
引种,11
引进品种,2
我国,218
园林景观,14
乔木,1
树种,8
三角梅,4
沿海,7
生态环境,39
立地条件,1
贮备,1
生产能力,63
内陆,2
水生植物,8
水体,55
净化,132
水质,52
生态系统,21
湿地,52
名优,7
良种,19
快繁,1
海口市,1
三亚市,1
滨海,14
珍稀,2
本土,4
园林,60
帝王,2
优良,40
观赏,3
优良品种,5
栽培,10
观花,1
牵头,46
国电,12
能源技术,13
东胜,1
热电厂,2
火电厂,8
工业废水,22
浓缩,39
减量,10
零排放,33
制盐,5
进步奖,113
合理化,9
建议,15
4G,53
NB,23
IOT,17
基站,68
所用,8
滤波器,17
合格率,24
预研,117
5Gmassivemimo,1
中所,4
5G,70
批件,264
培南匹,2
原料药,117
化学药品,17
主治,7
细菌性,2
肺炎,12
中耳炎,1
鼻窦炎,1
依折麦,3
布片,4
胆固醇,3
血症,3
临床,635
附杞,2
固本,5
中药,160
肾阳,2
尿频,2
温肾,2
证书,302
保护期,2
止泻,7
保童,1
小儿,35
脾胃,4
虚弱,1
寒热,1
凝结,1
水泻,1
痢疾,1
肚腹,1
疼痛,9
口干舌燥,1
四肢,2
倦怠,1
恶心,1
呕吐,1
小便,1
不利,9
健脾,3
中化,9
功效,23
推荐,32
准确,56
投放,34
挖掘,114
媒体,112
素材资料,1
引擎,77
影片,7
图文,3
素材,7
节目,22
收录,10
编辑,14
审核,72
归档,2
编目,1
分发,28
在内,42
采集,177
业务人员,1
管理机制,17
激活,6
询价,2
鉴权,7
异步,10
方式,347
前提,46
后台,40
可用性,4
反馈,51
发送,5
可知,2
安全级别,1
互动性,2
粘性,19
转码,8
计算资源,4
编码,17
弹性,38
闲置,5
PC机,1
对接,92
易于,23
技术标准,39
响应,94
利于,11
华数视,1
公有,12
私有,27
广电,56
HFC,10
专网,14
多种类型,2
跨屏,3
跨网,1
华数,8
阿里,4
百度,3
度秘,1
智慧,563
指标体系,5
清洗,66
开机,4
浏览,8
收视,4
搜索,31
收藏,2
投屏,1
下载,21
按键,4
关机,3
呈现,39
统计分析,33
编排,5
接入,113
OTT,28
IPTV,14
对乐视,1
天猫,2
魔盒,1
小米,3
联通,8
三大,118
巨量,1
SDK,4
CP,5
播控,11
规范,152
十九,4
期间,72
程序,47
适应症,44
功能主治,3
所处,26
退出,18
国家级,351
医疗保险,11
工伤保险,7
生育,9
目录,42
年报,3
披露,54
详细,27
查阅,2
医保,23
公告,41
001,6
生物制品,15
补充,84
获授,22
项发明,23
专利申请,219
重大进展,28
唯一,50
一家,36
建部,15
住宅产业,1
装配式,46
产业基地,9
标志,79
原型,19
三期,31
落地,53
风格,32
住宅,30
精装修,5
强强联合,4
年取,1
首批,50
全国,148
成果奖,21
浙江省,191
亚厦,5
绩效评价,6
评为,108
查新,7
工法查,1
装修,14
施工,288
工法,102
子母,1
门式,1
检修,30
双层,23
微孔,12
吸音板,1
吊顶,5
单元式,3
地暖,7
测量,71
主编,21
协会,76
参编,24
科技型,20
换流,27
变压器,202
油流,3
303,6
237.88,1
人民币,89
容量,69
强迫,1
散热,58
深入研究,89
路径,27
器身,13
二维,14
三维,68
两种,32
相结合,141
线圈,28
主纵,2
隔板,5
系统结构,2
及阀,1
引线,21
顺利完成,89
大容量,71
628,2
507.18,1
布置,30
电场,8
杂散,4
损耗,31
配合,90
框架,61
明显提高,10
阻抗,16
701,4
604.79,1
超高,91
部漏,1
防止出现,2
局部,34
过热,11
轴向,8
承受,15
短路,22
并联,56
电抗器,46
温升,11
降噪,22
153,11
586.18,1
以往,26
铁轭磁密,1
接地系统,2
涡流,10
环流,1
绕组,18
夹紧,8
固定,35
发热,18
噪声,25
信贷,12
技术支持,151
预警系统,24
业务管理,27
征信,9
普惠,7
金融业务,8
网贷,4
着手,29
消费,116
设定,15
总量,10
不确定性,14
管理效率,42
持续性,31
本项,7
效益,202
密封胶,34
涂料,134
市场趋势,15
不断加强,86
符合,394
优质产品,10
配方,290
充分利用,93
有利条件,6
高频,98
线路板,39
基材,99
旨在,150
信号,94
LCP,4
分子,90
电性能,8
介电常数,6
介电损耗,2
优越,4
机械性能,19
阻燃性,7
高精密,24
耐热性,16
膨胀系数,3
轻量化,85
环保车,1
前期,220
成功,1146
案例,19
选择,125
合适,18
聚酰胺,10
纤维材料,3
车用,67
之间,65
相容性,8
分散性,11
耐久,14
精密,248
元器件,60
电子设备,12
精密度,4
集成度,6
精密性,1
耐热,31
